"Ticker","Nome","Negócios","Última (R$)","Variação"
"AZEV11","Azevedo & Travassos","16.500","0,07","+40,00%"
"HOOT4","Hotéis Othon","16.200","7,04","-0,28%"
"COCE5","Coelce","15.900","32,75","-1,80%"
"BDLL4","Bardella","15.900","3,79","+20,32%"
"AALR3","Alliança","15.400","3,30","+0,00%"
"LUPA3","Lupatech","15.400","0,78","-2,50%"
"SHOW3","Time For Fun","15.300","5,77","-0,52%"
"HAGA4","Haga","15.000","1,56","-1,27%"
"AMOB3","Automob","14.500","14,06","+1,37%"
"HAGA3","Haga","12.100","2,66","+1,14%"
"CEBR6","CEB","11.900","32,00","+5,61%"
"TASA3","Taurus","11.900","4,68","-1,27%"
"BPAC3","Banco BTG Pactual","11.000","26,86","+3,63%"
"ALUP4","Alupar","10.400","10,48","+0,58%"
"RAPT3","Randon","10.300","4,99","-0,20%"
"MNPR3","Minupar","9.200","3,95","+1,54%"
"WDCN3","WDC Networks","8.200","2,46","+0,41%"
"CAMB3","Cambuci","7.700","9,80","-5,68%"
"NUTR3","Nutriplant","7.700","2,22","-9,02%"
"ALUP3","Alupar","7.600","11,88","-3,49%"
"AVLL3","Alphaville","7.600","0,65","+1,56%"
"WHRL4","Whirlpool","7.300","4,03","+0,50%"
"ESTR4","Estrela","7.300","3,66","+10,91%"
"PDTC3","Padtec","7.300","1,50","+0,00%"
"INEP4","Inepar","6.200","1,98","+0,00%"
"EALT4","Electro Aço Altona","5.300","12,71","-1,24%"
"ENGI4","Energisa","4.800","8,99","-0,66%"
"BOBR4","Bombril","4.800","1,33","+12,71%"
"CRPG5","Tronox Pigmentos","4.500","16,49","+2,42%"
"BEES3","Banestes","4.200","8,59","-0,23%"
"BAZA3","Banco da Amazônia","3.900","69,99","-0,37%"
"SNSY5","Sansuy","3.900","2,10","+0,00%"
"EQPA3","Equatorial Energia Pará","3.700","5,94","+2,06%"
"BEES4","Banestes","3.600","8,66","+0,46%"
"ENGI3","Energisa","3.300","12,05","-0,41%"
"PINE3","Banco Pine","3.000","13,00","+0,62%"
"CLSC4","Celesc","2.900","145,00","+0,00%"
"BPAC5","Banco BTG Pactual","2.800","14,71","-0,74%"
"FHER3","Fertilizantes Heringer","2.800","4,00","-2,20%"
"WHRL3","Whirlpool","2.700","3,88","-3,96%"
"UNIP3","Unipar","2.600","58,50","+0,09%"
"PDGR3","PDG Realty","2.600","1,50","-0,66%"
"WLMM4","WLM","2.500","19,31","-5,30%"
"CGRA4","Grazziotin","2.400","24,88","-0,16%"
"BRSR3","Banrisul","2.400","17,47","-0,11%"
"DOHL4","Döhler","2.300","3,79","+0,53%"
"BALM4","Baumer","2.200","20,00","+1,16%"
"CEBR5","CEB","2.100","26,86","+0,22%"
"WLMM3","WLM","1.900","20,10","-14,07%"
"BMEB3","Banco Mercantil do Brasil","1.800","57,07","-2,74%"
"RSUL4","Metalúrgica Riosulense","1.700","63,10","-1,21%"
"MGEL4","Mangels","1.600","5,77","+0,35%"
"EMAE4","EMAE","1.400","39,96","+0,35%"
"GSHP3","General Shopping & Outlets","1.400","3,29","+13,45%"
"ISAE3","ISA Energia","1.300","34,00","-0,50%"
"OFSA3","Ourofino Saúde Animal","1.300","30,63","-2,45%"
"CGAS5","Comgás","1.100","124,80","+0,65%"
"TELB3","Telebras","1.100","12,52","-3,69%"
"LUXM4","Trevisa","1.100","3,52","+0,00%"
"JFEN3","João Fortes","1.100","0,66","+1,54%"
"PPLA11","PPLA","1.002","0,47","+0,00%"
"EKTR4","Elektro","1.000","38,50","-0,03%"
"ATED3","ATOM EDUCAÇÃO E EDITORA S.A.","1.000","2,20","+0,00%"
"ENMT3","Energisa MT","900","41,44","-3,34%"
"CEBR3","CEB","800","28,20","-0,25%"
"PTNT4","Pettenati","700","8,32","-0,12%"
"CGRA3","Grazziotin","600","24,76","-1,24%"
"BIED3","Bioma","600","7,64","+2,00%"
"BGIP4","Banese","500","31,22","+0,00%"
"IGTI4","Jereissati Participações","500","11,33","-1,82%"
"IGTI4","Iguatemi","500","11,33","-1,82%"
"NEXP3","Brasil Brokers","500","2,53","-0,78%"
"OSXB3","OSX Brasil","400","1,40","+0,00%"
"ENMT4","Energisa MT","300","42,99","-4,45%"
"RPAD5","Alfa Holdings","300","7,15","+2,14%"
"RPMG3","Refinaria de Manguinhos","300","2,11","+0,00%"
"ARND3","Arandu","300","0,70","-1,41%"
"CGAS3","Comgás","200","123,99","+0,00%"
"BNBR3","Banco do Nordeste","200","111,00","+0,00%"
"BGIP3","Banese","200","51,75","-2,91%"
"MNDL3","Mundial","200","17,50","+3,00%"
"ALPA3","Alpargatas","200","10,01","-0,30%"
"TELB4","Telebras","200","8,01","-0,50%"
"BDLL3","Bardella","200","6,00","-3,23%"
"MAPT3","Cemepe","200","2,50","-0,79%"
"OIBR4","Oi","200","1,25","+1,63%"
"FRIO3","Metalfrio","100","180,00","+5,77%"
"CLSC3","Celesc","100","129,49","+0,00%"
"MWET4","Wetzel","100","14,90","+7,97%"
"AFLT3","Afluente T","100","7,36","+0,14%"
"NORD3","Nordon","100","1,90","+6,15%"
"RVEE3","REVEE S.A.","100","0,88","+1,15%"
"RVEE3","REVEE","100","0,88","+1,15%"
"BMKS3","Monark","13","371,00","+0,27%"
"DEXP4","Dexxos","22.300","7,20","+1,12%"
"PSVM11","PORTO VM","4.300","7,00","+65,88%"
"UNIP5","Unipar","600","60,46","-1,06%"
"CTKA4","Karsten","500","35,25","-1,59%"
"CEEB3","COELBA","300","48,31","+0,25%"
"EUCA3","Eucatex","300","25,70","+0,00%"
"BMIN4","Banco Mercantil de Investimentos","300","17,60","-1,40%"
"CTKA3","Karsten","200","46,39","-1,19%"
"CRPG3","Tronox Pigmentos","200","16,00","-14,44%"
"GEPA4","Rio Paranapanema Energia","100","38,30","+0,00%"
"BALM3","Baumer","100","25,18","+0,00%"
"BRKM6","Braskem","1.300","7,02","+0,29%"
"PATI3","Panatlântica","1.200","34,00","+3,03%"
"BIOM11","Biomm","300","2,70","+0,00%"
"CRPG6","Tronox Pigmentos","200","16,81","+0,00%"
"EALT3","Electro Aço Altona","200","13,50","+0,00%"
"PTNT3","Pettenati","200","8,50","+0,00%"
"GEPA3","Rio Paranapanema Energia","100","37,31","-1,79%"
"JOPA3","Josapar","100","16,81","-1,12%"
"PLAS3","Plascar","1.000","2,87","-0,35%"
